id,question,answer,cited_pages,reference_pages,reference_text,judge_correctness,human_correctness
q0035,Wer sind die Key-User für das PACS?,Die Key-User für das PACS sind die Key-User der Radiologie [1].,PACS_Handbuch.pdf#10,PACS_Handbuch.pdf#10,Neue Mitarbeitende erhalten eine 30-minütige Einweisung in den Web-Viewer durch die Radiologie; Befunder werden an den Befundungsarbeitsplätzen gesondert eingewiesen. Ansprechpartner für fachliche Fragen sind die Key-User der Radiologie. Die Schulungsunterlagen liegen im Intranet unter „Anwendungen > PACS > Anleitungen“.,correct,correct
q0153,"VPN ist komplett down, womit arbeiten wir jetzt?","Ist das VPN komplett down, kommen Mitarbeiter in Rufbereitschaft bei Bedarf ins Haus; die Telefonzentrale informiert über die Dauer der Störung [2].",VPN_Fernzugriff_Handbuch.pdf#9,VPN_Fernzugriff_Handbuch.pdf#9,"Ist das VPN gestört, ist kein Fernzugriff möglich. Mitarbeitende in Rufbereitschaft kommen in diesem Fall bei Bedarf ins Haus; die Telefonzentrale informiert über die Dauer der Störung. Nach der Wiederherstellung ist nichts nachzutragen; unterbrochene Sitzungen müssen neu gestartet werden.",correct,correct
q0227,"Komische Mail mit Link bekommen, was mache ich?","Verdächtige E-Mails mit Links sollten nicht geöffnet werden. Stattdessen über die Schaltfläche „Phishing melden“ in Outlook weitergeleitet werden. Falls bereits geklickt wurde, soll sofort den IT-Servicedesk unter 4444 kontaktiert werden, damit das Gerät isoliert werden kann [1].",IT_Sicherheitsrichtlinie.pdf#6,IT_Sicherheitsrichtlinie.pdf#6,"Verdächtige E-Mails werden über die Schaltfläche „Phishing melden“ in Outlook weitergeleitet. Links und Anhänge solcher E-Mails dürfen nicht geöffnet werden. Wurde bereits geklickt, sofort den IT-Servicedesk unter 4444 anrufen, damit das Gerät isoliert werden kann.",correct,correct
q0213,"Neuer Kollege fängt Montag an, hat der schon einen Account?","Ja, das Benutzerkonto wird am Werktag vor dem Eintritt angelegt, sobald der Vertrag erfasst ist [1].",Servicedesk_Handbuch.pdf#9,Servicedesk_Handbuch.pdf#9,"Das Benutzerkonto wird automatisch am Werktag vor dem Eintritt angelegt, sobald die Personalabteilung den Vertrag erfasst hat. Der Benutzername besteht aus dem Nachnamen und dem ersten Buchstaben des Vornamens. Das Startpasswort übergibt die oder der Vorgesetzte persönlich. Anwendungsrechte wie KIS oder PACS müssen separat beantragt werden.",correct,correct
q0203,"Wo sehe ich, was aus meinem Ticket geworden ist?",Im Self-Service-Portal können Mitarbeiter den Status eigener Tickets verfolgen [1].,Servicedesk_Handbuch.pdf#4,Servicedesk_Handbuch.pdf#4,"Im Self-Service-Portal (Intranet > IT-Service) können Mitarbeitende Tickets erstellen, den Status eigener Tickets verfolgen, Hardware bestellen und Berechtigungen beantragen. Anträge für Berechtigungen dürfen nur Vorgesetzte stellen; alle anderen Funktionen stehen allen Mitarbeitenden offen.",correct,correct
q0017,"Wird gespeichert, wer im KIS welche Daten ansieht?","Ja, dies wird protokolliert. Alle Anmeldungen und Zugriffe im KIS werden protokolliert und zehn Jahre aufbewahrt [1].",KIS_Handbuch.pdf#11,KIS_Handbuch.pdf#11,"Alle Anmeldungen und Zugriffe im KIS werden protokolliert. Die Protokolle werden zehn Jahre aufbewahrt und nur bei begründetem Verdacht unter Beteiligung von Datenschutz und Personalrat ausgewertet. Der Zugriff auf Akten von Patientinnen und Patienten, die nicht auf der eigenen Station liegen, ist nur mit Begründung über die Funktion „Notfallzugriff“ möglich und wird vom Datenschutz stichprobenartig geprüft.",correct,correct
q0067,wie komm ich in das RIS rein?,"Um in das RIS einzutreten, musst du zunächst eine Berechtigung beantragen, entweder als RIS-Terminplanung, RIS-MTRA oder RIS-Befunder [1]. Der Antrag wird im Self-Service-Portal gestellt und durch die Leitende MTRA oder die Leitung der Radiologie genehmigt [5]. Nach der Genehmigung ist der Zugang in der Regel innerhalb von zwei Werktagen freigeschaltet [1]. Die Anmeldung erfolgt dann mit deinem Windows-Konto [2].","RIS_Radiologie_Handbuch.pdf#4, RIS_Radiologie_Handbuch.pdf#4, RIS_Radiologie_Handbuch.pdf#6",RIS_Radiologie_Handbuch.pdf#6,Die Anmeldung am RIS erfolgt mit dem Windows-Konto. Befundtexte werden per Spracherkennung diktiert; das Headset muss vor der Anmeldung angeschlossen sein. Nach 20 Minuten ohne Aktivität wird die RIS-Sitzung gesperrt.,partially_correct,incorrect
q0031,Welche Priorität bekommt eine Störung im PACS?,"Eine Störung im PACS wird mit Priorität 1 bearbeitet, wenn sie die Befundung verhindert [1].",PACS_Handbuch.pdf#8,PACS_Handbuch.pdf#8,"Bei Problemen im PACS hilft häufig zunächst: den Browser-Cache leeren und sich erneut anmelden. Besteht das Problem weiter, wird es beim IT-Servicedesk unter der Durchwahl 4444 oder im Self-Service-Portal gemeldet. Anzugeben sind die Fehlermeldung, der Arbeitsplatz und ob die Patientenversorgung betroffen ist. Störungen, die die Befundung verhindern, werden mit Priorität 1 bearbeitet.",correct,correct
q0135,Gibt es eine Schulung für Outlook?,"Ja, neue Mitarbeiter erhalten eine Kurzanleitung für Outlook zum Start und können bei Bedarf eine einstündige Online-Schulung beantragen [1].",EMail_Outlook_Handbuch.pdf#10,EMail_Outlook_Handbuch.pdf#10,Neue Mitarbeitende erhalten zum Start eine Kurzanleitung für Outlook; bei Bedarf bietet die IT eine einstündige Online-Schulung an. Ansprechpartner für fachliche Fragen sind die Key-User der IT-Abteilung. Die Schulungsunterlagen liegen im Intranet unter „IT > E-Mail > Anleitungen“.,correct,correct
q0121,Wofür wird Outlook im Klinikum genutzt?,"Outlook wird im Klinikum Musterstadt für die dienstliche E-Mail-Kommunikation, Kalender und Besprechungsplanung genutzt [1].",EMail_Outlook_Handbuch.pdf#3,EMail_Outlook_Handbuch.pdf#3,"Der E-Mail-Dienst mit Outlook wird im Klinikum Musterstadt für die dienstliche E-Mail-Kommunikation, Kalender und Besprechungsplanung genutzt. Fachlich verantwortlich ist die IT-Abteilung, die technische Betreuung liegt beim Team Infrastruktur. Jede Mitarbeiterin und jeder Mitarbeiter erhält ein persönliches Postfach; Abteilungen können zusätzlich Funktionspostfächer nutzen.",correct,correct
q0127,Wie funktioniert die Anmeldung in Outlook?,"Outlook meldet sich auf Klinik-PCs automatisch mit dem Windows-Konto an. Auf dem Diensthandy wird die Outlook-App genutzt, wobei die Anmeldung eine Bestätigung in der Authenticator-App erfordert. Outlook im Web meldet nach 60 Minuten ohne Aktivität automatisch ab. [1]",EMail_Outlook_Handbuch.pdf#6,EMail_Outlook_Handbuch.pdf#6,Outlook meldet sich an Klinik-PCs automatisch mit dem Windows-Konto an. Auf dem Diensthandy wird die Outlook-App genutzt; die Anmeldung erfordert eine Bestätigung in der Authenticator-App. Outlook im Web ist auch von außerhalb erreichbar und meldet nach 60 Minuten ohne Aktivität automatisch ab.,correct,correct
